geoid,NAME,B25003_001E,B25003_002E,B25003_003E,state,county,tract,block group,table
370479301002,"Block Group 2, Census Tract 9301, Columbus County, North Carolina",697,523,174,37,047,930100,2,b25003
370479304001,"Block Group 1, Census Tract 9304, Columbus County, North Carolina",718,679,39,37,047,930400,1,b25003
370479313004,"Block Group 4, Census Tract 9313, Columbus County, North Carolina",881,632,249,37,047,931300,4,b25003
370479301003,"Block Group 3, Census Tract 9301, Columbus County, North Carolina",531,365,166,37,047,930100,3,b25003
370479306004,"Block Group 4, Census Tract 9306, Columbus County, North Carolina",402,393,9,37,047,930600,4,b25003
370479306001,"Block Group 1, Census Tract 9306, Columbus County, North Carolina",243,146,97,37,047,930600,1,b25003
370479307005,"Block Group 5, Census Tract 9307, Columbus County, North Carolina",469,355,114,37,047,930700,5,b25003
370479310003,"Block Group 3, Census Tract 9310, Columbus County, North Carolina",756,437,319,37,047,931000,3,b25003
370479303001,"Block Group 1, Census Tract 9303, Columbus County, North Carolina",383,300,83,37,047,930300,1,b25003
370479311003,"Block Group 3, Census Tract 9311, Columbus County, North Carolina",359,190,169,37,047,931100,3,b25003
370479308004,"Block Group 4, Census Tract 9308, Columbus County, North Carolina",353,226,127,37,047,930800,4,b25003
370479304003,"Block Group 3, Census Tract 9304, Columbus County, North Carolina",435,308,127,37,047,930400,3,b25003
370479304002,"Block Group 2, Census Tract 9304, Columbus County, North Carolina",453,289,164,37,047,930400,2,b25003
370479313002,"Block Group 2, Census Tract 9313, Columbus County, North Carolina",234,211,23,37,047,931300,2,b25003
370479313003,"Block Group 3, Census Tract 9313, Columbus County, North Carolina",383,303,80,37,047,931300,3,b25003
370479313001,"Block Group 1, Census Tract 9313, Columbus County, North Carolina",757,558,199,37,047,931300,1,b25003
370479301001,"Block Group 1, Census Tract 9301, Columbus County, North Carolina",441,334,107,37,047,930100,1,b25003
370479302001,"Block Group 1, Census Tract 9302, Columbus County, North Carolina",851,631,220,37,047,930200,1,b25003
370479306003,"Block Group 3, Census Tract 9306, Columbus County, North Carolina",588,448,140,37,047,930600,3,b25003
370479306002,"Block Group 2, Census Tract 9306, Columbus County, North Carolina",248,221,27,37,047,930600,2,b25003
370479307001,"Block Group 1, Census Tract 9307, Columbus County, North Carolina",270,254,16,37,047,930700,1,b25003
370479307003,"Block Group 3, Census Tract 9307, Columbus County, North Carolina",305,232,73,37,047,930700,3,b25003
370479307002,"Block Group 2, Census Tract 9307, Columbus County, North Carolina",501,226,275,37,047,930700,2,b25003
370479311002,"Block Group 2, Census Tract 9311, Columbus County, North Carolina",687,487,200,37,047,931100,2,b25003
370479308001,"Block Group 1, Census Tract 9308, Columbus County, North Carolina",481,456,25,37,047,930800,1,b25003
370479308003,"Block Group 3, Census Tract 9308, Columbus County, North Carolina",388,253,135,37,047,930800,3,b25003
370479308002,"Block Group 2, Census Tract 9308, Columbus County, North Carolina",410,328,82,37,047,930800,2,b25003
370479307004,"Block Group 4, Census Tract 9307, Columbus County, North Carolina",573,380,193,37,047,930700,4,b25003
370479312003,"Block Group 3, Census Tract 9312, Columbus County, North Carolina",231,157,74,37,047,931200,3,b25003
370479312004,"Block Group 4, Census Tract 9312, Columbus County, North Carolina",466,390,76,37,047,931200,4,b25003
370479312006,"Block Group 6, Census Tract 9312, Columbus County, North Carolina",197,197,0,37,047,931200,6,b25003
370479312005,"Block Group 5, Census Tract 9312, Columbus County, North Carolina",546,331,215,37,047,931200,5,b25003
370479312002,"Block Group 2, Census Tract 9312, Columbus County, North Carolina",487,286,201,37,047,931200,2,b25003
370479312001,"Block Group 1, Census Tract 9312, Columbus County, North Carolina",409,176,233,37,047,931200,1,b25003
370479305001,"Block Group 1, Census Tract 9305, Columbus County, North Carolina",531,452,79,37,047,930500,1,b25003
370479305002,"Block Group 2, Census Tract 9305, Columbus County, North Carolina",821,680,141,37,047,930500,2,b25003
370479305003,"Block Group 3, Census Tract 9305, Columbus County, North Carolina",466,372,94,37,047,930500,3,b25003
370479309002,"Block Group 2, Census Tract 9309, Columbus County, North Carolina",161,53,108,37,047,930900,2,b25003
370479309003,"Block Group 3, Census Tract 9309, Columbus County, North Carolina",199,147,52,37,047,930900,3,b25003
370479309005,"Block Group 5, Census Tract 9309, Columbus County, North Carolina",823,294,529,37,047,930900,5,b25003
370479309004,"Block Group 4, Census Tract 9309, Columbus County, North Carolina",351,145,206,37,047,930900,4,b25003
370479309001,"Block Group 1, Census Tract 9309, Columbus County, North Carolina",437,328,109,37,047,930900,1,b25003
370479310001,"Block Group 1, Census Tract 9310, Columbus County, North Carolina",702,530,172,37,047,931000,1,b25003
370479310002,"Block Group 2, Census Tract 9310, Columbus County, North Carolina",566,502,64,37,047,931000,2,b25003
370479311001,"Block Group 1, Census Tract 9311, Columbus County, North Carolina",445,346,99,37,047,931100,1,b25003
370479303003,"Block Group 3, Census Tract 9303, Columbus County, North Carolina",304,229,75,37,047,930300,3,b25003
370479303002,"Block Group 2, Census Tract 9303, Columbus County, North Carolina",367,261,106,37,047,930300,2,b25003
