geoid,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county,tract,block group,table
370479312006,"Block Group 6, Census Tract 9312, Columbus County, North Carolina",334,0,0,0,0,0,0,0,0,0,30,0,0,15,0,0,127,66,0,34,0,35,27,0,0,37,047,931200,6,b15003
370479312005,"Block Group 5, Census Tract 9312, Columbus County, North Carolina",822,0,0,0,0,0,0,0,0,0,0,9,36,0,154,15,375,55,30,79,22,34,0,13,0,37,047,931200,5,b15003
370479312002,"Block Group 2, Census Tract 9312, Columbus County, North Carolina",768,26,0,0,0,0,0,0,0,9,6,28,41,0,6,0,263,83,140,115,22,16,8,0,5,37,047,931200,2,b15003
370479312001,"Block Group 1, Census Tract 9312, Columbus County, North Carolina",704,6,0,0,0,0,15,0,0,0,25,27,6,53,39,18,189,28,68,87,54,51,38,0,0,37,047,931200,1,b15003
370479305001,"Block Group 1, Census Tract 9305, Columbus County, North Carolina",817,0,0,0,0,0,0,0,0,0,0,0,0,15,9,19,276,19,130,199,75,66,9,0,0,37,047,930500,1,b15003
370479305002,"Block Group 2, Census Tract 9305, Columbus County, North Carolina",1424,0,0,0,17,0,0,1,6,1,1,20,21,137,127,25,346,95,147,212,164,81,13,10,0,37,047,930500,2,b15003
370479305003,"Block Group 3, Census Tract 9305, Columbus County, North Carolina",892,24,0,0,0,0,0,0,0,0,0,8,0,56,10,0,122,33,146,177,194,49,41,32,0,37,047,930500,3,b15003
370479309002,"Block Group 2, Census Tract 9309, Columbus County, North Carolina",299,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,107,33,66,55,0,18,0,0,0,37,047,930900,2,b15003
370479309003,"Block Group 3, Census Tract 9309, Columbus County, North Carolina",454,0,0,0,0,0,0,0,0,0,11,12,10,10,10,6,203,16,17,68,0,86,5,0,0,37,047,930900,3,b15003
370479309005,"Block Group 5, Census Tract 9309, Columbus County, North Carolina",1263,0,0,0,0,0,0,0,0,0,0,20,93,54,0,0,274,74,127,194,160,124,67,15,61,37,047,930900,5,b15003
370479309004,"Block Group 4, Census Tract 9309, Columbus County, North Carolina",504,0,0,0,0,0,0,23,0,0,17,0,0,14,0,17,174,10,88,48,17,66,30,0,0,37,047,930900,4,b15003
370479309001,"Block Group 1, Census Tract 9309, Columbus County, North Carolina",685,62,0,0,0,0,0,0,0,0,0,19,0,14,70,0,261,92,18,115,17,17,0,0,0,37,047,930900,1,b15003
370479310001,"Block Group 1, Census Tract 9310, Columbus County, North Carolina",1134,15,0,0,0,0,0,0,0,0,0,16,69,17,13,28,447,0,153,92,106,103,63,0,12,37,047,931000,1,b15003
370479310002,"Block Group 2, Census Tract 9310, Columbus County, North Carolina",900,0,0,0,0,21,0,0,0,38,0,1,67,17,0,0,195,85,10,236,69,122,15,0,24,37,047,931000,2,b15003
370479311001,"Block Group 1, Census Tract 9311, Columbus County, North Carolina",710,0,0,0,0,0,0,0,0,10,0,10,52,0,11,0,247,24,73,135,100,48,0,0,0,37,047,931100,1,b15003
370479303003,"Block Group 3, Census Tract 9303, Columbus County, North Carolina",549,2,0,0,0,0,0,0,0,0,0,0,0,30,0,38,130,0,57,97,92,61,23,14,5,37,047,930300,3,b15003
370479303002,"Block Group 2, Census Tract 9303, Columbus County, North Carolina",673,4,0,0,0,0,0,0,0,11,22,14,0,0,24,36,128,22,47,108,65,118,48,17,9,37,047,930300,2,b15003
