geoid,NAME,B01001_001E,B01001_002E,B01001_003E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,tract,block group,table
370479309002,"Block Group 2, Census Tract 9309, Columbus County, North Carolina",489,196,58,0,0,0,0,0,0,293,0,14,0,15,0,0,0,37,047,930900,2,b01001
370479309003,"Block Group 3, Census Tract 9309, Columbus County, North Carolina",611,288,0,19,0,50,0,0,0,323,0,0,124,0,0,0,0,37,047,930900,3,b01001
370479309005,"Block Group 5, Census Tract 9309, Columbus County, North Carolina",2300,911,103,0,30,45,0,0,68,1389,229,0,47,33,68,0,15,37,047,930900,5,b01001
370479309004,"Block Group 4, Census Tract 9309, Columbus County, North Carolina",604,218,0,0,15,33,0,15,0,386,0,0,34,0,47,0,38,37,047,930900,4,b01001
370479309001,"Block Group 1, Census Tract 9309, Columbus County, North Carolina",760,377,0,0,12,44,74,14,0,383,30,0,0,121,0,0,29,37,047,930900,1,b01001
370479310001,"Block Group 1, Census Tract 9310, Columbus County, North Carolina",1543,817,71,0,46,83,32,0,23,726,0,0,18,83,51,46,16,37,047,931000,1,b01001
370479310002,"Block Group 2, Census Tract 9310, Columbus County, North Carolina",1411,769,34,0,78,18,75,14,0,642,21,39,0,0,33,0,0,37,047,931000,2,b01001
370479311001,"Block Group 1, Census Tract 9311, Columbus County, North Carolina",1140,643,46,10,13,21,10,8,0,497,0,7,18,12,49,17,0,37,047,931100,1,b01001
370479303003,"Block Group 3, Census Tract 9303, Columbus County, North Carolina",774,383,6,11,20,11,39,54,0,391,20,7,18,36,38,5,8,37,047,930300,3,b01001
370479303002,"Block Group 2, Census Tract 9303, Columbus County, North Carolina",928,378,27,20,18,13,21,24,7,550,17,5,23,50,21,41,77,37,047,930300,2,b01001
