geoid,NAME,B25002_001E,B25002_002E,B25002_003E,state,county,tract,table
37047930100,"Census Tract 9301, Columbus County, North Carolina",1957,1669,288,37,047,930100,b25002
37047930200,"Census Tract 9302, Columbus County, North Carolina",993,851,142,37,047,930200,b25002
37047930300,"Census Tract 9303, Columbus County, North Carolina",1579,1054,525,37,047,930300,b25002
37047930400,"Census Tract 9304, Columbus County, North Carolina",1879,1606,273,37,047,930400,b25002
37047930500,"Census Tract 9305, Columbus County, North Carolina",2110,1818,292,37,047,930500,b25002
37047930600,"Census Tract 9306, Columbus County, North Carolina",1817,1481,336,37,047,930600,b25002
37047930700,"Census Tract 9307, Columbus County, North Carolina",2416,2118,298,37,047,930700,b25002
37047930800,"Census Tract 9308, Columbus County, North Carolina",1914,1632,282,37,047,930800,b25002
37047930900,"Census Tract 9309, Columbus County, North Carolina",2412,1971,441,37,047,930900,b25002
37047931000,"Census Tract 9310, Columbus County, North Carolina",2271,2024,247,37,047,931000,b25002
37047931100,"Census Tract 9311, Columbus County, North Carolina",1639,1491,148,37,047,931100,b25002
37047931200,"Census Tract 9312, Columbus County, North Carolina",2688,2336,352,37,047,931200,b25002
37047931300,"Census Tract 9313, Columbus County, North Carolina",2575,2255,320,37,047,931300,b25002
